split,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,angle_offset_+22.5deg,0.05,220,220,0,220,0,0,0,47606,98838,19182,1.0,1.0,1.0,0.3250798940209227,0.7127927172545966,0.4465183462144519
test,angle_offset_+22.5deg,0.075,220,220,0,220,0,0,0,47106,95594,19682,1.0,1.0,1.0,0.3301051156271899,0.7053063424567287,0.4497250439165967
test,angle_offset_+45deg,0.05,220,220,0,220,0,0,0,43656,102432,22368,1.0,1.0,1.0,0.2988335797601446,0.6612141039621956,0.41163159085766016
test,angle_offset_+45deg,0.075,220,220,0,220,0,0,0,43286,99086,22738,1.0,1.0,1.0,0.3040345011659596,0.6556100811826002,0.4154206414710455
test,angle_offset_-22.5deg,0.05,220,220,0,220,0,0,0,49486,105776,21896,1.0,1.0,1.0,0.3187257667684301,0.6932560029138999,0.4366848449550838
test,angle_offset_-22.5deg,0.075,220,220,0,220,0,0,0,49080,102088,22302,1.0,1.0,1.0,0.3246718882303133,0.6875682945280323,0.4410694226016625
test,angle_offset_-45deg,0.05,220,220,0,220,0,0,0,48222,112460,20930,1.0,1.0,1.0,0.30010828842060716,0.6973334104581213,0.4196245986233542
test,angle_offset_-45deg,0.075,220,220,0,220,0,0,0,47788,108822,21364,1.0,1.0,1.0,0.30514015707809206,0.6910573808422027,0.4233484820297481
test,background_random_negative,0.05,880,50,830,50,230,0,600,4592,55772,3466,0.17857142857142858,1.0,0.30303030303030304,0.07607183089258499,0.5698684537105981,0.13422583379614744
test,background_random_negative,0.075,880,50,830,50,222,0,608,4518,53198,3540,0.18382352941176472,1.0,0.31055900621118016,0.07827985307367108,0.5606850335070737,0.1373795116611427
test,centered_positive__galaxy_major,0.05,220,220,0,220,0,0,0,44282,107954,23028,1.0,1.0,1.0,0.2908773220526025,0.6578814440647749,0.40339609922294184
test,centered_positive__galaxy_major,0.075,220,220,0,220,0,0,0,43828,104428,23482,1.0,1.0,1.0,0.29562378588387656,0.6511365324617442,0.4066318436117013
test,centered_positive__galaxy_minor,0.05,220,220,0,220,0,0,0,42652,98378,22144,1.0,1.0,1.0,0.30243210664397646,0.658250509290697,0.41444715439254515
test,centered_positive__galaxy_minor,0.075,220,220,0,220,0,0,0,42160,94886,22636,1.0,1.0,1.0,0.3076339331319411,0.6506574479906168,0.4177524994797911
test,centered_positive__shell_major,0.05,220,220,0,220,0,0,0,49698,98558,22392,1.0,1.0,1.0,0.33521746168789124,0.6893882646691636,0.451090557577628
test,centered_positive__shell_major,0.075,220,220,0,220,0,0,0,49286,95134,22804,1.0,1.0,1.0,0.34126852236532335,0.6836731862949091,0.45527689252228537
test,centered_positive__shell_minor,0.05,220,220,0,220,0,0,0,40050,109640,21438,1.0,1.0,1.0,0.26755294274834657,0.6513466042154566,0.3793008741440869
test,centered_positive__shell_minor,0.075,220,220,0,220,0,0,0,39694,106044,21794,1.0,1.0,1.0,0.2723654777751856,0.6455568566224303,0.3830986459228089
test,fine_grid_deployment_like,0.05,760,68,692,68,168,0,524,8908,54120,8336,0.288135593220339,1.0,0.4473684210526315,0.1413340102811449,0.5165854790071909,0.22194538568865857
test,fine_grid_deployment_like,0.075,760,68,692,68,150,0,542,8788,51852,8456,0.3119266055045872,1.0,0.4755244755244756,0.14492084432717678,0.5096265367664115,0.2256689435570849
test,random_nearby_grazing,0.05,440,440,0,440,0,0,0,66010,217092,34684,1.0,1.0,1.0,0.2331668444588876,0.6555504796710827,0.343984825271759
test,random_nearby_grazing,0.075,440,440,0,440,0,0,0,65338,209786,35356,1.0,1.0,1.0,0.2374856428374115,0.6488767950424057,0.34771086004395746
test,spatial_offset_16pix__shell_major,0.05,440,272,168,272,166,0,2,49504,213806,27546,0.6210045662100456,1.0,0.7661971830985915,0.1880065322243743,0.6424918883841662,0.29089199670936655
test,spatial_offset_16pix__shell_major,0.075,440,272,168,272,166,0,2,48896,206616,28154,0.6210045662100456,1.0,0.7661971830985915,0.19136478912927768,0.6346009085009734,0.2940564466174728
test,spatial_offset_16pix__shell_minor,0.05,440,244,196,244,194,0,2,42446,207796,38008,0.5570776255707762,1.0,0.7155425219941349,0.169619808025831,0.527580977950133,0.25670706630863394
test,spatial_offset_16pix__shell_minor,0.075,440,244,196,244,194,0,2,41938,200716,38516,0.5570776255707762,1.0,0.7155425219941349,0.17283044994106836,0.5212668108484352,0.25959122027309756
test,spatial_offset_4pix__shell_major,0.05,440,374,66,374,66,0,0,77320,206802,42676,0.85,1.0,0.9189189189189189,0.2721366173685952,0.6443548118270609,0.3826605100490451
test,spatial_offset_4pix__shell_major,0.075,440,374,66,374,66,0,0,76562,199674,43434,0.85,1.0,0.9189189189189189,0.27716155750879684,0.6380379345978199,0.3864503624139394
test,spatial_offset_4pix__shell_minor,0.05,440,424,16,424,16,0,0,73378,212776,41604,0.9636363636363636,1.0,0.9814814814814815,0.256428356758948,0.6381694526099737,0.36585098320769016
test,spatial_offset_4pix__shell_minor,0.075,440,424,16,424,16,0,0,72712,205632,42270,0.9636363636363636,1.0,0.9814814814814815,0.2612307073261863,0.6323772416552156,0.36972892714948924
test,spatial_offset_8pix__shell_major,0.05,440,278,162,278,162,0,0,57074,207726,34638,0.6318181818181818,1.0,0.7743732590529248,0.21553625377643504,0.6223176901605024,0.3201799658917512
test,spatial_offset_8pix__shell_major,0.075,440,278,162,278,162,0,0,56414,200502,35298,0.6318181818181818,1.0,0.7743732590529248,0.2195814974544209,0.6151212491277042,0.3236343609807589
test,spatial_offset_8pix__shell_minor,0.05,440,304,136,302,134,2,2,55588,216556,39490,0.6926605504587156,0.993421052631579,0.8162162162162162,0.20425950967135045,0.5846568080944067,0.302748745990164
test,spatial_offset_8pix__shell_minor,0.075,440,304,136,302,134,2,2,54946,209594,40132,0.6926605504587156,0.993421052631579,0.8162162162162162,0.20770393891282982,0.5779044573928774,0.3055798096869456
test,velocity_offset_+15kms,0.05,220,220,0,220,0,0,0,49616,97960,22474,1.0,1.0,1.0,0.336206429229685,0.6882507976140935,0.45174036947001356
test,velocity_offset_+15kms,0.075,220,220,0,220,0,0,0,49196,94516,22894,1.0,1.0,1.0,0.3423235359608105,0.6824247468442225,0.4559364602737695
test,velocity_offset_+30kms,0.05,220,220,0,220,0,0,0,49384,96768,22706,1.0,1.0,1.0,0.3378947944605616,0.6850325981412124,0.4525618350271717
test,velocity_offset_+30kms,0.075,220,220,0,220,0,0,0,48914,93400,23176,1.0,1.0,1.0,0.3437047655185013,0.6785129698987377,0.45627880076864236
test,velocity_offset_-15kms,0.05,220,220,0,220,0,0,0,49794,98516,22296,1.0,1.0,1.0,0.3357427010990493,0.6907199334165627,0.4518511796733212
test,velocity_offset_-15kms,0.075,220,220,0,220,0,0,0,49322,95098,22768,1.0,1.0,1.0,0.34151779531920784,0.6841725620751838,0.45560944067248627
test,velocity_offset_-30kms,0.05,220,220,0,220,0,0,0,49474,99852,22616,1.0,1.0,1.0,0.3313153770944109,0.6862810375918991,0.4468873071503415
test,velocity_offset_-30kms,0.075,220,220,0,220,0,0,0,48958,96268,23132,1.0,1.0,1.0,0.3371159434261083,0.6791233180746289,0.45056967733622927
val,angle_offset_+22.5deg,0.05,152,152,0,152,0,0,0,18530,54144,12704,1.0,1.0,1.0,0.25497426865178746,0.5932637510405327,0.35666166223967355
val,angle_offset_+22.5deg,0.075,152,152,0,152,0,0,0,18308,51922,12926,1.0,1.0,1.0,0.2606863163890075,0.5861561119293078,0.36087676417251435
val,angle_offset_+45deg,0.05,152,152,0,148,0,4,0,23086,57734,11004,1.0,0.9736842105263158,0.9866666666666666,0.2856471170502351,0.6772073921971252,0.40181011226177005
val,angle_offset_+45deg,0.075,152,152,0,148,0,4,0,22788,55374,11302,1.0,0.9736842105263158,0.9866666666666666,0.2915483227143625,0.6684658257553535,0.406015037593985
val,angle_offset_-22.5deg,0.05,152,152,0,152,0,0,0,21192,55774,9424,1.0,1.0,1.0,0.27534235896369824,0.6921870917167494,0.3939692513617519
val,angle_offset_-22.5deg,0.075,152,152,0,152,0,0,0,20952,53530,9664,1.0,1.0,1.0,0.2813028651217744,0.6843480533054612,0.3987135816095454
val,angle_offset_-45deg,0.05,152,152,0,150,0,2,0,19844,55892,7910,1.0,0.9868421052631579,0.9933774834437086,0.26201542199218336,0.7149960366073359,0.3834959899507199
val,angle_offset_-45deg,0.075,152,152,0,150,0,2,0,19680,53770,8074,1.0,0.9868421052631579,0.9933774834437086,0.26793737236215115,0.7090869784535563,0.3889174340935141
val,background_random_negative,0.05,608,24,584,24,262,0,322,1600,61034,902,0.08391608391608392,1.0,0.15483870967741936,0.02554523102468308,0.6394884092725819,0.04912797838368951
val,background_random_negative,0.075,608,24,584,24,252,0,332,1566,58042,936,0.08695652173913043,1.0,0.16,0.026271641390417395,0.6258992805755396,0.05042666237320883
val,centered_positive__galaxy_major,0.05,152,152,0,150,0,2,0,21492,70050,5878,1.0,0.9868421052631579,0.9933774834437086,0.23477747918988007,0.7852393131165509,0.3614773950484392
val,centered_positive__galaxy_major,0.075,152,152,0,150,0,2,0,21296,67790,6074,1.0,0.9868421052631579,0.9933774834437086,0.23904990683160093,0.7780781877968579,0.36573469808339626
val,centered_positive__galaxy_minor,0.05,152,152,0,152,0,0,0,18532,45328,14620,1.0,1.0,1.0,0.2901973066082055,0.5590009652509652,0.3820558281449718
val,centered_positive__galaxy_minor,0.075,152,152,0,152,0,0,0,18192,43158,14960,1.0,1.0,1.0,0.2965281173594132,0.5487451737451737,0.3850077247042391
val,centered_positive__shell_major,0.05,152,152,0,152,0,0,0,21318,52608,13314,1.0,1.0,1.0,0.28836945053161267,0.6155578655578655,0.3927485767976565
val,centered_positive__shell_major,0.075,152,152,0,152,0,0,0,21006,50338,13626,1.0,1.0,1.0,0.2944326082081184,0.6065488565488566,0.39642938023703483
val,centered_positive__shell_minor,0.05,152,152,0,150,0,2,0,19960,55600,7614,1.0,0.9868421052631579,0.9933774834437086,0.2641609317098994,0.7238703126133313,0.38706924971396434
val,centered_positive__shell_minor,0.075,152,152,0,150,0,2,0,19702,53512,7872,1.0,0.9868421052631579,0.9933774834437086,0.2691015379572213,0.7145136722999927,0.39095924117950553
val,fine_grid_deployment_like,0.05,760,44,716,44,272,0,444,3628,69422,2142,0.13924050632911392,1.0,0.2444444444444444,0.04966461327857632,0.6287694974003466,0.09205785333671658
val,fine_grid_deployment_like,0.075,760,44,716,44,260,0,456,3564,66132,2206,0.14473684210526316,1.0,0.2528735632183908,0.05113636363636364,0.6176776429809359,0.09445313121140646
val,random_nearby_grazing,0.05,304,304,0,302,0,2,0,27322,108386,20266,1.0,0.993421052631579,0.9966996699669968,0.2013293247266189,0.5741363368916533,0.2981188896648045
val,random_nearby_grazing,0.075,304,304,0,302,0,2,0,26954,103748,20634,1.0,0.993421052631579,0.9966996699669968,0.20622484736270294,0.5664032949483063,0.30236132144259353
val,spatial_offset_16pix__shell_major,0.05,304,160,144,160,140,0,4,17344,105578,11470,0.5333333333333333,1.0,0.6956521739130436,0.14109760661232326,0.6019296175470258,0.22860758158907576
val,spatial_offset_16pix__shell_major,0.075,304,160,144,160,140,0,4,17090,101274,11724,0.5333333333333333,1.0,0.6956521739130436,0.14438511709641444,0.5931144582494621,0.23223579611083178
val,spatial_offset_16pix__shell_minor,0.05,304,184,120,184,116,0,4,19074,120692,7542,0.6133333333333333,1.0,0.7603305785123966,0.13647095860223515,0.7166366095581606,0.22927960957315094
val,spatial_offset_16pix__shell_minor,0.075,304,184,120,184,114,0,6,18858,116140,7758,0.6174496644295302,1.0,0.7634854771784232,0.13969095838456866,0.7085211902614968,0.2333708713354041
val,spatial_offset_4pix__shell_major,0.05,304,274,30,272,30,2,0,34368,106504,22646,0.9006622516556292,0.9927007299270073,0.9444444444444445,0.24396615367141802,0.6027993124495737,0.347351505412207
val,spatial_offset_4pix__shell_major,0.075,304,274,30,272,30,2,0,33792,102146,23222,0.9006622516556292,0.9927007299270073,0.9444444444444445,0.24858391325457194,0.5926965306766759,0.35026327791367795
val,spatial_offset_4pix__shell_minor,0.05,304,290,14,286,14,4,0,35776,112426,16166,0.9533333333333334,0.9862068965517241,0.9694915254237289,0.2414002510087583,0.6887682415001347,0.35750259812934687
val,spatial_offset_4pix__shell_minor,0.075,304,290,14,286,14,4,0,35318,107886,16624,0.9533333333333334,0.9862068965517241,0.9694915254237289,0.24662718918465965,0.6799507142582111,0.36196488782757524
val,spatial_offset_8pix__shell_major,0.05,304,212,92,212,92,0,0,23768,109788,16206,0.6973684210526315,1.0,0.8217054263565892,0.17796280212045884,0.5945864812127883,0.273935342592059
val,spatial_offset_8pix__shell_major,0.075,304,212,92,212,92,0,0,23364,105372,16610,0.6973684210526315,1.0,0.8217054263565892,0.1814876957494407,0.5844799119427628,0.2769723193645901
val,spatial_offset_8pix__shell_minor,0.05,304,244,60,244,58,0,2,28604,115122,13220,0.8079470198675497,1.0,0.8937728937728937,0.19901757510819199,0.6839135424636572,0.3083158178388575
val,spatial_offset_8pix__shell_minor,0.075,304,244,60,244,58,0,2,28202,110796,13622,0.8079470198675497,1.0,0.8937728937728937,0.20289500568353502,0.6743018362662586,0.311931070334362
val,velocity_offset_+15kms,0.05,152,152,0,150,0,2,0,20950,52060,13642,1.0,0.9868421052631579,0.9933774834437086,0.2869469935625257,0.6056313598519889,0.3893979665805468
val,velocity_offset_+15kms,0.075,152,152,0,150,0,2,0,20596,49870,13996,1.0,0.9868421052631579,0.9933774834437086,0.2922828030539551,0.5953977798334875,0.3920881798625521
val,velocity_offset_+30kms,0.05,152,150,2,148,2,2,0,20524,52556,13884,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.28084291187739463,0.5964891885607998,0.38188448943137837
val,velocity_offset_+30kms,0.075,152,150,2,148,2,2,0,20180,50322,14228,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.2862330146662506,0.586491513601488,0.3847107044133067
val,velocity_offset_-15kms,0.05,152,152,0,152,0,0,0,20858,52154,13664,1.0,1.0,1.0,0.2856790664548293,0.6041944267423672,0.38793311882753356
val,velocity_offset_-15kms,0.075,152,152,0,152,0,0,0,20522,49986,14000,1.0,1.0,1.0,0.2910591705905713,0.5944615028098025,0.39078358564219745
val,velocity_offset_-30kms,0.05,152,152,0,152,0,0,0,20816,52122,13456,1.0,1.0,1.0,0.28539307356933286,0.607376283846872,0.38832198488946923
val,velocity_offset_-30kms,0.075,152,152,0,152,0,0,0,20506,49884,13766,1.0,1.0,1.0,0.2913197897428612,0.5983309990662932,0.39185186600676464
